N; Aleat Sélect.; PresqueTri Sélect.; PresqueTriDeb Sélect.; PresqueTriDebFin Sélect.; PresqueTriFin Sélect;; Aleat Sélect.; PresqueTri Sélect.; PresqueTriDeb Sélect.; PresqueTriDebFin Sélect.; PresqueTriFin Sélect;; Aleat Sélect.; PresqueTri Sélect.; PresqueTriDeb Sélect.; PresqueTriDebFin Sélect.; PresqueTriFin Sélect;; Aleat Sélect.; PresqueTri Sélect.; PresqueTriDeb Sélect.; PresqueTriDebFin Sélect.; PresqueTriFin Sélect;; Aleat Sélect.; PresqueTri Sélect.; PresqueTriDeb Sélect.; PresqueTriDebFin Sélect.; PresqueTriFin Sélect;N²; N*ln(N)
2;1;1;1;1;1;;1;1;1;1;1;;1;1;1;1;1;;1;1;2;2;2;;0;0;0;0;0;4;1.38629
3;3;3;3;3;3;;3;3;3;3;3;;3;2;3;3;3;;5;5;5;3;5;;1;1;1;1;1;9;3.29584
4;6;6;6;6;6;;6;6;6;6;6;;6;5;5;6;5;;9;9;9;6;9;;2;2;2;3;2;16;5.54518
5;10;10;10;10;10;;10;10;10;10;10;;7;7;7;10;7;;13;13;13;13;13;;4;4;4;6;4;25;8.04719
6;15;15;15;15;15;;15;15;15;15;15;;14;9;9;15;9;;19;19;19;19;19;;6;6;6;10;6;36;10.7506
7;21;21;21;21;21;;21;21;21;21;21;;15;11;11;21;11;;23;23;23;29;23;;7;9;9;15;9;49;13.6214
8;28;28;28;28;28;;28;28;28;28;28;;27;13;13;28;13;;31;31;31;31;31;;21;12;12;21;12;64;16.6355
9;36;36;36;36;36;;36;36;36;36;36;;35;15;15;36;15;;37;37;37;37;37;;12;16;16;28;16;81;19.775
10;45;45;45;45;45;;45;45;45;45;45;;45;17;17;45;17;;41;41;41;50;41;;14;20;20;36;20;100;23.0259
11;55;55;55;55;55;;55;55;55;55;55;;54;19;19;55;19;;52;52;52;42;52;;45;25;25;45;25;121;26.3768
12;66;66;66;66;66;;66;66;66;66;66;;63;21;21;66;21;;58;58;58;58;58;;22;30;30;55;30;144;29.8189
13;78;78;78;78;78;;78;78;78;78;78;;68;23;23;78;23;;74;62;62;50;62;;48;36;36;66;36;169;33.3443
14;91;91;91;91;91;;91;91;91;91;91;;81;25;25;91;25;;82;69;69;82;69;;35;42;42;78;42;196;36.9468
15;105;105;105;105;105;;105;105;105;105;105;;104;27;27;105;27;;84;84;84;70;84;;32;49;49;91;49;225;40.6208
16;120;120;120;120;120;;120;120;120;120;120;;110;29;29;120;29;;90;90;90;75;90;;72;56;56;105;56;256;44.3614
17;136;136;136;136;136;;136;136;136;136;136;;133;31;31;136;31;;110;94;94;110;94;;38;64;64;120;64;289;48.1646
18;153;153;153;153;153;;153;153;153;153;153;;153;33;33;153;33;;102;102;102;102;102;;136;72;72;136;72;324;52.0267
19;171;171;171;171;171;;171;171;171;171;171;;165;35;35;171;35;;127;109;109;109;109;;54;81;81;153;81;361;55.9443
20;190;190;190;190;190;;190;190;190;190;190;;189;37;37;190;37;;129;129;129;110;129;;48;90;90;171;90;400;59.9146
21;210;210;210;210;210;;210;210;210;210;210;;209;39;39;210;39;;135;135;135;135;135;;55;100;100;190;100;441;63.935
22;231;231;231;231;231;;231;231;231;231;231;;221;41;41;231;41;;144;144;144;144;144;;56;110;110;210;110;484;68.0029
23;253;253;253;253;253;;253;253;253;253;253;;238;43;43;253;43;;170;148;148;148;148;;60;121;121;231;121;529;72.1164
24;276;276;276;276;276;;276;276;276;276;276;;266;45;45;276;45;;156;156;156;133;156;;75;132;132;253;132;576;76.2733
25;300;300;300;300;300;;300;300;300;300;300;;290;47;47;300;47;;163;163;163;163;163;;64;144;144;276;144;625;80.4719
26;325;325;325;325;325;;325;325;325;325;325;;315;49;49;325;49;;189;189;189;189;189;;64;156;156;300;156;676;84.7105
27;351;351;351;351;351;;351;351;351;351;351;;323;51;51;351;51;;199;199;199;173;199;;131;169;169;325;169;729;88.9876
28;378;378;378;378;378;;378;378;378;378;378;;363;53;53;378;53;;205;205;205;205;205;;86;182;182;351;182;784;93.3017
29;406;406;406;406;406;;406;406;406;406;406;;370;55;55;406;55;;214;214;214;186;214;;85;196;196;135;196;841;97.6516
30;435;435;435;435;435;;435;435;435;435;435;;435;57;57;435;57;;218;218;218;247;218;;131;197;210;145;210;900;102.036
31;465;465;465;465;465;;465;465;465;465;465;;459;59;59;465;59;;258;228;228;228;228;;101;225;225;155;225;961;106.454
32;496;496;496;496;496;;496;496;496;496;496;;496;61;61;496;61;;267;236;236;205;236;;109;227;240;165;240;1024;110.904
33;528;528;528;528;528;;528;528;528;528;528;;513;63;63;528;63;;275;243;243;275;243;;139;228;256;176;256;1089;115.385
34;561;561;561;561;561;;561;561;561;561;561;;555;65;65;561;65;;277;277;277;277;277;;111;259;272;187;272;1156;119.896
35;595;595;595;595;595;;595;595;595;595;595;;567;67;67;595;67;;288;288;288;254;288;;147;260;289;198;289;1225;124.437
36;630;630;630;630;630;;630;630;630;630;630;;615;69;69;630;69;;298;298;298;298;298;;154;293;306;210;306;1296;129.007
37;666;666;666;666;666;;666;666;666;666;666;;651;71;71;666;71;;304;304;304;304;304;;134;295;324;222;324;1369;133.604
38;703;703;703;703;703;;703;703;703;703;703;;682;73;73;703;73;;313;313;313;313;313;;155;329;342;234;342;1444;138.228
39;741;741;741;741;741;;741;741;741;741;741;;705;75;75;741;75;;355;317;317;317;317;;133;330;361;247;361;1521;142.879
40;780;780;780;780;780;;780;780;780;780;780;;770;77;77;780;77;;367;328;328;367;328;;253;367;380;260;380;1600;147.555
41;820;820;820;820;820;;820;820;820;820;820;;792;79;79;820;79;;378;338;338;378;338;;167;369;400;273;400;1681;152.256
42;861;861;861;861;861;;861;861;861;861;861;;851;81;81;861;81;;387;346;346;387;346;;175;407;420;287;420;1764;156.982
43;903;903;903;903;903;;903;903;903;903;903;;875;83;83;903;83;;395;353;353;395;353;;222;408;441;301;441;1849;161.732
44;946;946;946;946;946;;946;946;946;946;946;;891;85;85;946;85;;407;364;364;364;364;;215;449;462;315;462;1936;166.504
45;990;990;990;990;990;;990;990;990;990;990;;987;87;87;990;87;;409;409;409;409;409;;211;451;484;330;484;2025;171.3
46;1035;1035;1035;1035;1035;;1035;1035;1035;1035;1035;;1025;89;89;1035;89;;420;420;420;420;420;;224;452;506;345;506;2116;176.118
47;1081;1081;1081;1081;1081;;1081;1081;1081;1081;1081;;1053;91;91;1081;91;;430;430;430;384;430;;216;496;529;360;529;2209;180.957
48;1128;1128;1128;1128;1128;;1128;1128;1128;1128;1128;;1122;93;93;1128;93;;442;442;442;442;442;;169;497;552;376;552;2304;185.818
49;1176;1176;1176;1176;1176;;1176;1176;1176;1176;1176;;1166;95;95;1176;95;;448;448;448;448;448;;225;543;576;392;576;2401;190.699
50;1225;1225;1225;1225;1225;;1225;1225;1225;1225;1225;;1180;97;97;1225;97;;457;457;457;457;457;;243;545;600;408;600;2500;195.601
51;1275;1275;1275;1275;1275;;1275;1275;1275;1275;1275;;1274;99;99;1275;99;;511;461;461;511;461;;525;592;625;425;625;2601;200.523
52;1326;1326;1326;1326;1326;;1326;1326;1326;1326;1326;;1311;101;101;1326;101;;523;472;472;523;472;;269;593;650;442;650;2704;205.465
53;1378;1378;1378;1378;1378;;1378;1378;1378;1378;1378;;1368;103;103;1378;103;;536;484;484;536;484;;205;643;676;459;676;2809;210.425
54;1431;1431;1431;1431;1431;;1431;1431;1431;1431;1431;;1403;105;105;1431;105;;494;494;494;494;494;;1128;644;702;477;702;2916;215.405
55;1485;1485;1485;1485;1485;;1485;1485;1485;1485;1485;;1457;107;107;1485;107;;556;502;502;556;502;;282;696;729;495;729;3025;220.403
56;1540;1540;1540;1540;1540;;1540;1540;1540;1540;1540;;1474;109;109;1540;109;;564;509;509;564;509;;332;698;756;513;756;3136;225.42
57;1596;1596;1596;1596;1596;;1596;1596;1596;1596;1596;;1568;111;111;1596;111;;577;521;521;577;521;;410;699;784;532;784;3249;230.454
58;1653;1653;1653;1653;1653;;1653;1653;1653;1653;1653;;1587;113;113;1653;113;;532;532;532;589;532;;253;701;785;551;785;3364;235.506
59;1711;1711;1711;1711;1711;;1711;1711;1711;1711;1711;;1696;115;115;1711;115;;591;591;591;591;591;;446;755;813;570;813;3481;240.575
60;1770;1770;1770;1770;1770;;1770;1770;1770;1770;1770;;1767;117;117;1770;117;;602;602;602;602;602;;370;757;842;590;842;3600;245.661
61;1830;1830;1830;1830;1830;;1830;1830;1830;1830;1830;;1809;119;119;1830;119;;615;615;615;615;615;;353;760;844;593;844;3721;250.763
62;1891;1891;1891;1891;1891;;1891;1891;1891;1891;1891;;1825;121;121;1891;121;;625;625;625;625;625;;303;762;873;613;873;3844;255.882
63;1953;1953;1953;1953;1953;;1953;1953;1953;1953;1953;;1917;123;123;1953;123;;761;637;637;575;637;;422;818;903;633;903;3969;261.017
64;2016;2016;2016;2016;2016;;2016;2016;2016;2016;2016;;1950;125;125;2016;125;;643;643;643;643;643;;420;820;906;654;906;4096;266.169
65;2080;2080;2080;2080;2080;;2080;2080;2080;2080;2080;;2077;127;127;2080;127;;652;652;652;652;652;;414;825;936;658;936;4225;271.335
66;2145;2145;2145;2145;2145;;2145;2145;2145;2145;2145;;2130;129;129;2145;129;;665;665;665;665;665;;359;882;967;679;967;4356;276.517
67;2211;2211;2211;2211;2211;;2211;2211;2211;2211;2211;;2175;131;131;2211;131;;735;669;669;735;669;;788;885;971;700;971;4489;281.714
68;2278;2278;2278;2278;2278;;2278;2278;2278;2278;2278;;2212;133;133;2278;133;;747;680;680;680;680;;506;891;1002;722;1002;4624;286.927
69;2346;2346;2346;2346;2346;;2346;2346;2346;2346;2346;;2255;135;135;2346;135;;760;692;692;760;692;;295;949;1034;727;1034;4761;292.153
70;2415;2415;2415;2415;2415;;2415;2415;2415;2415;2415;;2262;137;137;2415;137;;774;705;705;774;705;;367;951;1039;749;1039;4900;297.395
71;2485;2485;2485;2485;2485;;2485;2485;2485;2485;2485;;2275;139;139;2485;139;;785;715;715;785;715;;588;960;1071;771;1071;5041;302.65
72;2556;2556;2556;2556;2556;;2556;2556;2556;2556;2556;;2556;141;141;2556;141;;865;723;723;794;723;;341;962;1104;794;1104;5184;307.92
73;2628;2628;2628;2628;2628;;2628;2628;2628;2628;2628;;2618;143;143;2628;143;;802;730;730;802;730;;573;1022;1110;800;1110;5329;313.204
74;2701;2701;2701;2701;2701;;2701;2701;2701;2701;2701;;2701;145;145;2701;145;;816;743;743;816;743;;325;1024;1143;823;1143;5476;318.501
75;2775;2775;2775;2775;2775;;2775;2775;2775;2775;2775;;2772;147;147;2775;147;;903;755;755;829;755;;461;1035;1177;846;1177;5625;323.812
76;2850;2850;2850;2850;2850;;2850;2850;2850;2850;2850;;2822;149;149;2850;149;;841;766;766;841;766;;419;1096;1184;870;1184;5776;329.136
77;2926;2926;2926;2926;2926;;2926;2926;2926;2926;2926;;2871;151;151;2926;151;;843;843;843;843;843;;442;1099;1218;877;1218;5929;334.473
78;3003;3003;3003;3003;3003;;3003;3003;3003;3003;3003;;2925;153;153;3003;153;;854;854;854;854;854;;346;1101;1253;901;1253;6084;339.823
79;3081;3081;3081;3081;3081;;3081;3081;3081;3081;3081;;2961;155;155;3081;155;;868;868;868;868;868;;385;1173;1261;925;1261;6241;345.186
80;3160;3160;3160;3160;3160;;3160;3160;3160;3160;3160;;3007;157;157;3160;157;;881;881;881;881;881;;423;1175;1296;950;1296;6400;350.562
81;3240;3240;3240;3240;3240;;3240;3240;3240;3240;3240;;3069;159;159;3240;159;;891;891;891;891;891;;585;1180;1332;958;1332;6561;355.95
82;3321;3321;3321;3321;3321;;3321;3321;3321;3321;3321;;3090;161;161;3321;161;;984;903;903;903;903;;689;1253;1341;983;1341;6724;361.351
83;3403;3403;3403;3403;3403;;3403;3403;3403;3403;3403;;3250;163;163;3403;163;;917;917;917;917;917;;458;1256;1377;1008;1377;6889;366.764
84;3486;3486;3486;3486;3486;;3486;3486;3486;3486;3486;;3483;165;165;3486;165;;923;923;923;923;923;;401;1258;1414;1034;1414;7056;372.189
85;3570;3570;3570;3570;3570;;3570;3570;3570;3570;3570;;3555;167;167;3570;167;;932;932;932;932;932;;428;1336;1424;1043;1424;7225;377.625
86;3655;3655;3655;3655;3655;;3655;3655;3655;3655;3655;;3640;169;169;3655;169;;945;945;945;945;945;;1275;1338;1461;1069;1461;7396;383.074
87;3741;3741;3741;3741;3741;;3741;3741;3741;3741;3741;;3726;171;171;3741;171;;959;959;959;959;959;;832;1340;1463;1071;1463;7569;388.534
88;3828;3828;3828;3828;3828;;3828;3828;3828;3828;3828;;3783;173;173;3828;173;;1050;963;963;1050;963;;768;1422;1501;1097;1501;7744;394.006
89;3916;3916;3916;3916;3916;;3916;3916;3916;3916;3916;;3880;175;175;3916;175;;1062;974;974;1062;974;;468;1347;1512;1124;1512;7921;399.489
90;4005;4005;4005;4005;4005;;4005;4005;4005;4005;4005;;3969;177;177;4005;177;;1075;986;986;1075;986;;466;1427;1550;1134;1550;8100;404.983
91;4095;4095;4095;4095;4095;;4095;4095;4095;4095;4095;;4059;179;179;4095;179;;1179;999;999;999;999;;563;1511;1553;1137;1553;8281;410.488
92;4186;4186;4186;4186;4186;;4186;4186;4186;4186;4186;;4171;181;181;4186;181;;1104;1013;1013;1104;1013;;744;1432;1592;1164;1592;8464;416.005
93;4278;4278;4278;4278;4278;;4278;4278;4278;4278;4278;;4233;183;183;4278;183;;1115;1023;1023;1023;1023;;563;1518;1604;1191;1604;8649;421.532
94;4371;4371;4371;4371;4371;;4371;4371;4371;4371;4371;;4371;185;185;4371;185;;1124;1031;1031;1124;1031;;801;1441;1643;1219;1643;8836;427.07
95;4465;4465;4465;4465;4465;;4465;4465;4465;4465;4465;;4455;187;187;4465;187;;1132;1038;1038;1132;1038;;593;1525;1647;1230;1647;9025;432.618
96;4560;4560;4560;4560;4560;;4560;4560;4560;4560;4560;;4560;189;189;4560;189;;1147;1052;1052;1147;1052;;628;1607;1687;1234;1687;9216;438.177
97;4656;4656;4656;4656;4656;;4656;4656;4656;4656;4656;;4646;191;191;4656;191;;1161;1065;1065;1065;1065;;581;1614;1700;1262;1700;9409;443.747
98;4753;4753;4753;4753;4753;;4753;4753;4753;4753;4753;;4717;193;193;4753;193;;1368;1077;1077;1174;1077;;685;1621;1740;1290;1740;9604;449.327
99;4851;4851;4851;4851;4851;;4851;4851;4851;4851;4851;;4760;195;195;4851;195;;1284;1088;1088;1088;1088;;659;1540;1745;1319;1745;9801;454.917
100;4950;4950;4950;4950;4950;;4950;4950;4950;4950;4950;;4797;197;197;4950;197;;1300;1102;1102;1201;1102;;766;1706;1786;1331;1786;10000;460.517
